Item	Outline	Page_Lines	Text	Tokens	Keywords	Tag	Number_of_Keywords
41	c.	4.23 - 4.24	To impose cost recovery demands on responsible parties and issue notices of cost recovery demands; 	to, impose, cost, recovery, demands, on, responsible, parties, and, issue, notices, of, cost, recovery, demands	impose, cost, recovery, demands, responsible, parties, issue, notices	(§3.) ARTICLE 76 § 76-0103.2.c.	8
42	d.	4.25 - 4.25	To accept and collect payment from responsible parties; 	to, accept, and, collect, payment, from, responsible, parties	accept, collect, payment, responsible, parties	(§3.) ARTICLE 76 § 76-0103.2.d.	5
43	e.	4.26 - 4.26	To identify climate change adaptive infrastructure projects; 	to, identify, climate, change, adaptive, infrastructure, projects	identify, climate, adaptive, infrastructure, projects	(§3.) ARTICLE 76 § 76-0103.2.e.	5
44	f.	4.27 - 4.28	To disperse funds to climate change adaptive infrastructure projects; and 	to, disperse, funds, to, climate, change, adaptive, infrastructure, projects, and	disperse, funds, climate, adaptive, infrastructure, projects	(§3.) ARTICLE 76 § 76-0103.2.f.	6
45	g.	4.29 - 4.32	To ensure that at least thirty-five percent of the qualified expenditures from the program shall go to climate change adaptive infrastructure projects that directly benefit disadvantaged communities as defined in section 75-0101 of this chapter. 	to, ensure, that, at, least, thirty, five, percent, of, the, qualified, expenditures, from, the, program, shall, go, to, climate, change, adaptive, infrastructure, projects, that, directly, benefit, disadvantaged, communities, as, defined, in, section, 75, 0101, of, this, chapter	ensure, qualified, expenditures, program, climate, adaptive, infrastructure, projects, directly, benefit, disadvantaged, communities, defined, chapter	(§3.) ARTICLE 76 § 76-0103.2.g.	14
46	3.	4.33 - 4.36	a. A responsible party shall be strictly liable, without regard to fault, for a share of the costs of climate change adaptive infrastructure projects, including their operation and maintenance, supported by the fund. 	a, a, responsible, party, shall, be, strictly, liable, without, regard, to, fault, for, a, share, of, the, costs, of, climate, change, adaptive, infrastructure, projects, including, their, operation, and, maintenance, supported, by, the, fund	responsible, strictly, liable, regard, fault, costs, climate, adaptive, infrastructure, projects, operation, maintenance, supported, fund	(§3.) ARTICLE 76 § 76-0103.3.	14
47	b.	4.37 - 4.41	With respect to each responsible party, the cost recovery demand shall be equal to an amount that bears the same ratio to thirty billion dollars as the responsible party's applicable share of covered greenhouse gas emissions bears to the aggregate applicable shares of covered greenhouse gas emissions of all responsible parties. 	with, respect, to, each, responsible, party, the, cost, recovery, demand, shall, be, equal, to, an, amount, that, bears, the, same, ratio, to, thirty, billion, dollars, as, the, responsible, party's, applicable, share, of, covered, greenhouse, gas, emissions, bears, to, the, aggregate, applicable, shares, of, covered, greenhouse, gas, emissions, of, all, responsible, parties	respect, responsible, cost, recovery, demand, equal, amount, bears, ratio, billion, dollars, party's, applicable, covered, greenhouse, gas, emissions, aggregate, shares, parties	(§3.) ARTICLE 76 § 76-0103.3.b.	20
48	c.	4.42 - 4.45	The applicable share of covered greenhouse gas emissions taken into account under this section for any responsible party shall be the amount by which the covered greenhouse gas emissions attributable to such responsible party exceeds one billion metric tons. 	the, applicable, share, of, covered, greenhouse, gas, emissions, taken, into, account, under, this, section, for, any, responsible, party, shall, be, the, amount, by, which, the, covered, greenhouse, gas, emissions, attributable, to, such, responsible, party, exceeds, one, billion, metric, tons	applicable, covered, greenhouse, gas, emissions, account, responsible, amount, attributable, exceeds, billion, metric, tons	(§3.) ARTICLE 76 § 76-0103.3.c.	13
49	d.	4.46 - 4.52	Where an entity owns a minority interest in another entity of ten percent or more, the calculation of the entity's applicable share of greenhouse gas emissions taken into account under this section shall include the applicable share of greenhouse gas emissions taken into account under this section by the entity in which the responsible party holds a minority interest, multiplied by the percentage of the minority interest held. 	where, an, entity, owns, a, minority, interest, in, another, entity, of, ten, percent, or, more, the, calculation, of, the, entity's, applicable, share, of, greenhouse, gas, emissions, taken, into, account, under, this, section, shall, include, the, applicable, share, of, greenhouse, gas, emissions, taken, into, account, under, this, section, by, the, entity, in, which, the, responsible, party, holds, a, minority, interest, multiplied, by, the, percentage, of, the, minority, interest, held	entity, owns, minority, interest, calculation, entity's, applicable, greenhouse, gas, emissions, account, responsible, holds, multiplied, percentage, held	(§3.) ARTICLE 76 § 76-0103.3.d.	16
50	e.	4.53 - 5.7	In determining the amount of greenhouse gas emissions attributable to any entity, an amount equivalent to nine hundred forty-two and onehalf metric tons of carbon dioxide equivalent shall be treated as released for every million pounds of coal attributable to such entity; an amount equivalent to four hundred thirty-two thousand one hundred eighty metric tons of carbon dioxide equivalent shall be treated as released for every million barrels of crude oil attributable to such entity; and an amount equivalent to fifty-three thousand four hundred forty metric tons of carbon dioxide equivalent shall be treated as released for every million cubic feet of fuel gases attributable to such entity. 	in, determining, the, amount, of, greenhouse, gas, emissions, attributable, to, any, entity, an, amount, equivalent, to, nine, hundred, forty, two, and, onehalf, metric, tons, of, carbon, dioxide, equivalent, shall, be, treated, as, released, for, every, million, pounds, of, coal, attributable, to, such, entity, an, amount, equivalent, to, four, hundred, thirty, two, thousand, one, hundred, eighty, metric, tons, of, carbon, dioxide, equivalent, shall, be, treated, as, released, for, every, million, barrels, of, crude, oil, attributable, to, such, entity, and, an, amount, equivalent, to, fifty, three, thousand, four, hundred, forty, metric, tons, of, carbon, dioxide, equivalent, shall, be, treated, as, released, for, every, million, cubic, feet, of, fuel, gases, attributable, to, such, entity	determining, amount, greenhouse, gas, emissions, attributable, entity, equivalent, hundred, onehalf, metric, tons, carbon, dioxide, treated, released, million, pounds, coal, thousand, barrels, crude, oil, cubic, feet, fuel, gases	(§3.) ARTICLE 76 § 76-0103.3.e.	27
51	f.	5.8 - 5.15	The commissioner may adjust the cost recovery demand amount of a responsible party refining petroleum products (or who is a successor in interest to such an entity) if such responsible party establishes to the satisfaction of the commissioner that a portion of the cost recovery demand amount was attributable to the refining of crude oil extracted by another responsible party (or who is a successor in interest to such an entity) that accounted for such crude oil in determining its cost recovery demand amount. 	the, commissioner, may, adjust, the, cost, recovery, demand, amount, of, a, responsible, party, refining, petroleum, products, or, who, is, a, successor, in, interest, to, such, an, entity, if, such, responsible, party, establishes, to, the, satisfaction, of, the, commissioner, that, a, portion, of, the, cost, recovery, demand, amount, was, attributable, to, the, refining, of, crude, oil, extracted, by, another, responsible, party, or, who, is, a, successor, in, interest, to, such, an, entity, that, accounted, for, such, crude, oil, in, determining, its, cost, recovery, demand, amount	commissioner, may, adjust, cost, recovery, demand, amount, responsible, refining, petroleum, products, successor, interest, entity, establishes, satisfaction, portion, attributable, crude, oil, extracted, accounted, determining	(§3.) ARTICLE 76 § 76-0103.3.f.	23
52	g.	5.16 - 5.18	Payment of a cost recovery demand shall be made in full on the applicable payment date unless a responsible party elects to pay in installments pursuant to paragraph h of this subdivision. 	payment, of, a, cost, recovery, demand, shall, be, made, in, full, on, the, applicable, payment, date, unless, a, responsible, party, elects, to, pay, in, installments, pursuant, to, paragraph, h, of, this, subdivision	payment, cost, recovery, demand, applicable, unless, responsible, elects, installments, pursuant, paragraph, subdivision	(§3.) ARTICLE 76 § 76-0103.3.g.	12
53	h.	5.19 - 5.25	A responsible party may elect to pay the cost recovery demand amount in nine annual installments, twenty percent of the total due in the first installment and ten percent of the total due in each of the following eight installments. If an election is made under this paragraph, the first installment shall be paid on the applicable payment date and each subsequent installment shall be paid on the same date as the applicable payment date in each succeeding year. 	a, responsible, party, may, elect, to, pay, the, cost, recovery, demand, amount, in, nine, annual, installments, twenty, percent, of, the, total, due, in, the, first, installment, and, ten, percent, of, the, total, due, in, each, of, the, following, eight, installments, if, an, election, is, made, under, this, paragraph, the, first, installment, shall, be, paid, on, the, applicable, payment, date, and, each, subsequent, installment, shall, be, paid, on, the, same, date, as, the, applicable, payment, date, in, each, succeeding, year	responsible, may, elect, cost, recovery, demand, amount, annual, installments, total, installment, election, paragraph, paid, applicable, payment, subsequent, succeeding	(§3.) ARTICLE 76 § 76-0103.3.h.	18
54	i.	5.26 - 5.39	If there is any addition to the original amount of the cost recovery demand for failure to timely pay any installment required under this subdivision, a liquidation or sale of substantially all the assets of the responsible party (including in a proceeding under U.S. Code: Title 11 or similar case), a cessation of business by the responsible party, or any similar circumstance, then the unpaid balance of all remaining installments shall be due on the date of such event (or in the case of a proceeding under U.S. Code: Title 11 or similar case, on the day before the petition is filed). The preceding sentence shall not apply to the sale of substantially all of the assets of a responsible party to a buyer if such buyer enters into an agreement with the department under which such buyer is liable for the remaining installments due under this subdivision in the same manner as if such buyer were the responsible party. 	if, there, is, any, addition, to, the, original, amount, of, the, cost, recovery, demand, for, failure, to, timely, pay, any, installment, required, under, this, subdivision, a, liquidation, or, sale, of, substantially, all, the, assets, of, the, responsible, party, including, in, a, proceeding, under, u.s, code, title, 11, or, similar, case, a, cessation, of, business, by, the, responsible, party, or, any, similar, circumstance, then, the, unpaid, balance, of, all, remaining, installments, shall, be, due, on, the, date, of, such, event, or, in, the, case, of, a, proceeding, under, u.s, code, title, 11, or, similar, case, on, the, day, before, the, petition, is, filed, the, preceding, sentence, shall, not, apply, to, the, sale, of, substantially, all, of, the, assets, of, a, responsible, party, to, a, buyer, if, such, buyer, enters, into, an, agreement, with, the, department, under, which, such, buyer, is, liable, for, the, remaining, installments, due, under, this, subdivision, in, the, same, manner, as, if, such, buyer, were, the, responsible, party	addition, original, amount, cost, recovery, demand, failure, timely, installment, required, subdivision, liquidation, sale, substantially, assets, responsible, proceeding, u.s, code, title, case, cessation, business, circumstance, unpaid, balance, remaining, installments, event, petition, filed, preceding, sentence, apply, buyer, enters, agreement, department, liable, manner	(§3.) ARTICLE 76 § 76-0103.3.i.	40
55	4.	5.40 - 5.42	Within one year of the effective date of this article, the department shall promulgate such regulations as are necessary to carry out this article, including but not limited to: 	within, one, year, of, the, effective, date, of, this, article, the, department, shall, promulgate, such, regulations, as, are, necessary, to, carry, out, this, article, including, but, not, limited, to	effective, article, department, promulgate, regulations, necessary, carry, limited	(§3.) ARTICLE 76 § 76-0103.4.	8
56	a.	5.43 - 5.45	adopting methodologies using the best available science to determine responsible parties and their applicable share of covered greenhouse gas emissions consistent with the provisions of this article; 	adopting, methodologies, using, the, best, available, science, to, determine, responsible, parties, and, their, applicable, share, of, covered, greenhouse, gas, emissions, consistent, with, the, provisions, of, this, article	adopting, methodologies, available, science, determine, responsible, parties, applicable, covered, greenhouse, gas, emissions, consistent, provisions, article	(§3.) ARTICLE 76 § 76-0103.4.a.	15
57	b.	5.46 - 5.47	registering entities that are responsible parties under the program; 	registering, entities, that, are, responsible, parties, under, the, program	registering, entities, responsible, parties, program	(§3.) ARTICLE 76 § 76-0103.4.b.	5
58	c.	5.48 - 5.52	issuing notices of cost recovery demand to responsible parties informing them of the cost recovery demand amount; how and where cost recovery demands can be paid; the potential consequences of nonpayment and late payment; and information regarding their rights to contest an assessment; 	issuing, notices, of, cost, recovery, demand, to, responsible, parties, informing, them, of, the, cost, recovery, demand, amount, how, and, where, cost, recovery, demands, can, be, paid, the, potential, consequences, of, nonpayment, and, late, payment, and, information, regarding, their, rights, to, contest, an, assessment	issuing, notices, cost, recovery, demand, responsible, parties, informing, amount, demands, paid, potential, consequences, nonpayment, late, payment, information, regarding, rights, contest, assessment	(§3.) ARTICLE 76 § 76-0103.4.c.	21
59	d.	5.53 - 5.54	accepting payments from, pursuing collection efforts against, and negotiating settlements with responsible parties; and 	accepting, payments, from, pursuing, collection, efforts, against, and, negotiating, settlements, with, responsible, parties, and	accepting, payments, pursuing, collection, efforts, negotiating, settlements, responsible, parties	(§3.) ARTICLE 76 § 76-0103.4.d.	9
60	e.	5.55 - 6.9	adopting procedures for identifying climate change adaptive infrastructure projects eligible to receive qualifying expenditures, including legislative budget appropriations, issuance of requests for proposals from localities and not-for-profit and community organizations, grants to private individuals, or other methods as determined by the department, and for dispersing moneys from the fund for qualifying expenditures. Total qualifying expenditures shall be allocated in such a way as to ensure at least thirty-five percent of the qualified expenditures from the program shall go to climate change adaptive infrastructure projects that directly benefit disadvantaged communities as defined in section 75-0101 of this chapter. 	adopting, procedures, for, identifying, climate, change, adaptive, infrastructure, projects, eligible, to, receive, qualifying, expenditures, including, legislative, budget, appropriations, issuance, of, requests, for, proposals, from, localities, and, not, for, profit, and, community, organizations, grants, to, private, individuals, or, other, methods, as, determined, by, the, department, and, for, dispersing, moneys, from, the, fund, for, qualifying, expenditures, total, qualifying, expenditures, shall, be, allocated, in, such, a, way, as, to, ensure, at, least, thirty, five, percent, of, the, qualified, expenditures, from, the, program, shall, go, to, climate, change, adaptive, infrastructure, projects, that, directly, benefit, disadvantaged, communities, as, defined, in, section, 75, 0101, of, this, chapter	adopting, procedures, identifying, climate, adaptive, infrastructure, projects, eligible, qualifying, expenditures, legislative, budget, appropriations, issuance, requests, proposals, localities, profit, community, organizations, grants, private, individuals, methods, determined, department, dispersing, moneys, fund, total, allocated, ensure, qualified, program, directly, benefit, disadvantaged, communities, defined, chapter	(§3.) ARTICLE 76 § 76-0103.4.e.	40
61	5.	6.10 - 6.12	The department, the department of taxation and finance, and the attorney general are hereby authorized to enforce the provisions of this article. 	the, department, the, department, of, taxation, and, finance, and, the, attorney, general, are, hereby, authorized, to, enforce, the, provisions, of, this, article	department, taxation, finance, attorney, general, hereby, authorized, enforce, provisions, article	(§3.) ARTICLE 76 § 76-0103.5.	10
62	6.	6.13 - 6.18	The department or the department of taxation and finance shall provide an opportunity to be heard to any responsible parties that seek to contest a cost recovery demand. Determinations made in favor of a petitioner after such hearing shall be final and conclusive. A determination in favor of the state may be appealed under article seventy-eight of the civil practice law and rules. 	the, department, or, the, department, of, taxation, and, finance, shall, provide, an, opportunity, to, be, heard, to, any, responsible, parties, that, seek, to, contest, a, cost, recovery, demand, determinations, made, in, favor, of, a, petitioner, after, such, hearing, shall, be, final, and, conclusive, a, determination, in, favor, of, the, state, may, be, appealed, under, article, seventy, eight, of, the, civil, practice, law, and, rules	department, taxation, finance, opportunity, heard, responsible, parties, seek, contest, cost, recovery, demand, determinations, favor, petitioner, hearing, final, conclusive, determination, state, may, appealed, article, civil, practice, law, rules	(§3.) ARTICLE 76 § 76-0103.6.	27
63	7.	6.19 - 6.21	Moneys received from cost recovery demands shall be deposited in the climate change adaptation fund established pursuant to section ninety-seven-k of the state finance law. 	moneys, received, from, cost, recovery, demands, shall, be, deposited, in, the, climate, change, adaptation, fund, established, pursuant, to, section, ninety, seven, k, of, the, state, finance, law	moneys, cost, recovery, demands, deposited, climate, adaptation, fund, established, pursuant, state, finance, law	(§3.) ARTICLE 76 § 76-0103.7.	13
64	8.	6.22 - 6.25	a. The department shall conduct an independent evaluation of the climate change adaptation cost recovery program. The purpose of this evaluation is to determine the effectiveness of the program in achieving its purposes as defined in subdivision two of this section. 	a, the, department, shall, conduct, an, independent, evaluation, of, the, climate, change, adaptation, cost, recovery, program, the, purpose, of, this, evaluation, is, to, determine, the, effectiveness, of, the, program, in, achieving, its, purposes, as, defined, in, subdivision, two, of, this, section	department, conduct, independent, evaluation, climate, adaptation, cost, recovery, program, purpose, determine, effectiveness, achieving, purposes, defined, subdivision	(§3.) ARTICLE 76 § 76-0103.8.	16
65	b.	6.26 - 6.30	Such evaluation shall be provided to the governor, the temporary president of the senate and the speaker of the assembly on or before January first of the second calendar year following the year in which this article is enacted into law, and annually on or before September thirtieth thereafter. 	such, evaluation, shall, be, provided, to, the, governor, the, temporary, president, of, the, senate, and, the, speaker, of, the, assembly, on, or, before, january, first, of, the, second, calendar, year, following, the, year, in, which, this, article, is, enacted, into, law, and, annually, on, or, before, september, thirtieth, thereafter	evaluation, governor, temporary, president, senate, speaker, assembly, january, calendar, article, enacted, law, annually, september, thirtieth, thereafter	(§3.) ARTICLE 76 § 76-0103.8.b.	16
66	c.	6.31 - 6.33	Any entity contracted by the department to conduct such evaluation shall receive prompt payment of all moneys due upon completion of such evaluation. 	any, entity, contracted, by, the, department, to, conduct, such, evaluation, shall, receive, prompt, payment, of, all, moneys, due, upon, completion, of, such, evaluation	entity, contracted, department, conduct, evaluation, prompt, payment, moneys, completion	(§3.) ARTICLE 76 § 76-0103.8.c.	9
67	§ 4.	6.34 - 6.35	The state finance law is amended by adding a new section 97-k to read as follows: 	the, state, finance, law, is, amended, by, adding, a, new, section, 97, k, to, read, as, follows	state, finance, law, amended, adding, new, follows	§ 4.	7
68	1.	6.36 - 6.42	"Climate change adaptation fund. 1. There is hereby established in the custody of the comptroller and the commissioner of taxation and finance a special revolving fund to be known as the ""climate change adaptation fund"" for the purpose of receiving moneys through cost recovery demands and issuing funds for qualifying expenditures pursuant to the climate change adaptation cost recovery program established in article seventy-six of the environmental conservation law. "	climate, change, adaptation, fund, 1, there, is, hereby, established, in, the, custody, of, the, comptroller, and, the, commissioner, of, taxation, and, finance, a, special, revolving, fund, to, be, known, as, the, climate, change, adaptation, fund, for, the, purpose, of, receiving, moneys, through, cost, recovery, demands, and, issuing, funds, for, qualifying, expenditures, pursuant, to, the, climate, change, adaptation, cost, recovery, program, established, in, article, seventy, six, of, the, environmental, conservation, law	climate, adaptation, fund, hereby, established, custody, comptroller, commissioner, taxation, finance, special, revolving, known, purpose, receiving, moneys, cost, recovery, demands, issuing, funds, qualifying, expenditures, pursuant, program, article, environmental, conservation, law	(§4.) § 97-k.1.	29
69	2.	6.43 - 6.46	No monies shall be expended from the fund for any project except qualifying expenditures pursuant to the program, including their operation and maintenance, as well as reasonable costs incurred by the department of environmental conservation for administering the program. 	no, monies, shall, be, expended, from, the, fund, for, any, project, except, qualifying, expenditures, pursuant, to, the, program, including, their, operation, and, maintenance, as, well, as, reasonable, costs, incurred, by, the, department, of, environmental, conservation, for, administering, the, program	monies, expended, fund, project, except, qualifying, expenditures, pursuant, program, operation, maintenance, reasonable, costs, incurred, department, environmental, conservation, administering	(§4.) § 97-k.2.	18
70	3.	6.47 - 6.56	Revenues in the fund shall be kept separate and shall not be commingled with any other moneys in the custody of the comptroller or the commissioner of taxation and finance. All deposits of such revenues shall, if required by the comptroller, be secured by obligations of the United States or of the state having a market value equal at all times to the amount of such deposits and all banks and trust companies are authorized to give security for such deposits. Any such revenues in such fund may, upon the discretion of the comptroller, be invested in obligations in which the comptroller is authorized to invest pursuant to section ninety-eight-a of this article. 	revenues, in, the, fund, shall, be, kept, separate, and, shall, not, be, commingled, with, any, other, moneys, in, the, custody, of, the, comptroller, or, the, commissioner, of, taxation, and, finance, all, deposits, of, such, revenues, shall, if, required, by, the, comptroller, be, secured, by, obligations, of, the, united, states, or, of, the, state, having, a, market, value, equal, at, all, times, to, the, amount, of, such, deposits, and, all, banks, and, trust, companies, are, authorized, to, give, security, for, such, deposits, any, such, revenues, in, such, fund, may, upon, the, discretion, of, the, comptroller, be, invested, in, obligations, in, which, the, comptroller, is, authorized, to, invest, pursuant, to, section, ninety, eight, a, of, this, article	revenues, fund, kept, separate, commingled, moneys, custody, comptroller, commissioner, taxation, finance, deposits, required, secured, obligations, united, states, state, market, value, equal, amount, banks, trust, companies, authorized, security, may, discretion, invested, invest, pursuant, article	(§4.) § 97-k.3.	33
71	4.	7.1 - 7.2	All payments of moneys from the fund shall be made on the audit and warrant of the comptroller. 	all, payments, of, moneys, from, the, fund, shall, be, made, on, the, audit, and, warrant, of, the, comptroller	payments, moneys, fund, audit, warrant, comptroller	(§4.) § 97-k.4.	6
72	§ 5.	7.3 - 7.6	Availability of additional remedies. Nothing in this act shall be deemed to preclude the pursuit of a civil action or other remedy by any person. The remedies provided in this act are in addition to those provided by existing statutory or common law. 	availability, of, additional, remedies, nothing, in, this, act, shall, be, deemed, to, preclude, the, pursuit, of, a, civil, action, or, other, remedy, by, any, person, the, remedies, provided, in, this, act, are, in, addition, to, those, provided, by, existing, statutory, or, common, law	availability, remedies, nothing, act, deemed, preclude, pursuit, civil, action, remedy, addition, existing, statutory, law	§ 5.	14
73	§ 6.	7.7 - 7.13	Severability. If any word, phrase, clause, sentence, paragraph, section, or part of this act shall be adjudged by any court of competent jurisdiction to be invalid, such judgment shall not affect, impair, or invalidate the remainder thereof, but shall be confined in its operation to the word, phrase, clause, sentence, paragraph, section, or part thereof directly involved in the controversy in which such judgment shall have been rendered. 	severability, if, any, word, phrase, clause, sentence, paragraph, section, or, part, of, this, act, shall, be, adjudged, by, any, court, of, competent, jurisdiction, to, be, invalid, such, judgment, shall, not, affect, impair, or, invalidate, the, remainder, thereof, but, shall, be, confined, in, its, operation, to, the, word, phrase, clause, sentence, paragraph, section, or, part, thereof, directly, involved, in, the, controversy, in, which, such, judgment, shall, have, been, rendered	severability, phrase, clause, sentence, paragraph, act, adjudged, court, competent, jurisdiction, invalid, judgment, affect, impair, invalidate, remainder, thereof, confined, operation, directly, involved, controversy, rendered	§ 6.	23
74	§ 7.	7.14 - 7.16	Construction. This act, being necessary for the general health, safety, and welfare of the people of this state, shall be liberally construed to effect its purpose. 	construction, this, act, being, necessary, for, the, general, health, safety, and, welfare, of, the, people, of, this, state, shall, be, liberally, construed, to, effect, its, purpose	construction, act, necessary, general, health, safety, welfare, state, liberally, construed, effect, purpose	§ 7.	12
75	§ 8.	7.17 - 7.17	This act shall take effect immediately. 	this, act, shall, take, effect, immediately	act, effect, immediately	§ 8.	3
